,cafeterias,restaurantes,padarias,delivery,driveThru
0,"Shopping center em Fortaleza, Ceará",Restaurante,$$,Restaurante,$$
1,$$,$$,Padaria,$$,"Laboratório médico em Fortaleza, Ceará"
2,Cafeteria,$$$,$,Delivery,$$$
3,$$$,Restaurante brasileiro,Supermercado,Restaurante de comida caseira,Shopping center
4,Café,Restaurante de frutos do mar,Doceria,$,Hamburgueria
5,Bistrô,Restaurante peruano,Mercado,Restaurante de comida para viagem,Restaurante fast-food
6,Restaurante,$$$$,"Pet shop em Fortaleza, Ceará",Hamburgueria,$
7,Confeitaria,Restaurante francês,Confeitaria,Pizzaria,Loja de açaí
8,$,$,$$$,Restaurante de café da manhã,Sorveteria
9,Atacadista de café,Restaurante de sushi,Cafeteria,Restaurante self-service,"Empresa farmacêutica em Fortaleza, Ceará"
10,Bar,Restaurante mediterrâneo,Restaurante,Restaurante brasileiro,Pizzaria
11,Lanchonete,Restaurante self-service,Equipamentos de panificação,Restaurante fast-food,Restaurante especializado em carnes
12,Loja,Restaurante italiano,Loja de bolos,$$$,Restaurante italiano
13,Torrefação de café,Restaurante de comida caseira,Loja,Lanchonete,"Shopping center em Fortaleza, Ceará"
14,"Loja de cestas de presente em Fortaleza, Ceará",Restaurante japonês,"Mercado em Fortaleza, Ceará",Saladas prontas,Restaurante
15,Loja de chás,Restaurante asiático,"Loja de cosmético em Fortaleza, Ceará",Delivery de Pizza,Cafeteria
16,Casa de chá tradicional,Restaurante fast-food,"Loja de artigos domésticos em Fortaleza, Ceará",Restaurante familiar,Supermercado
17,Patisserie,Restaurante espanhol,Açougue,Restaurante italiano,Delivery de Pizza
18,Padaria,Mercado de produtos agrícolas,"Loja em Fortaleza, Ceará",Padaria,Bar
19,Sorveteria,Bar,Moveleiro,Açougue,"Departamento de saúde pública em Fortaleza, Ceará"
20,Loja de produtos naturais,Campo de futebol,"Ótica em Fortaleza, Ceará",Loja de açaí,Restaurante de comida caseira
21,Chocolateria,Restaurante sérvio,Lanchonete,Restaurante de frutos do mar,"Loja de moda feminina em Fortaleza, Ceará"
22,Livraria,Pastelaria brasileira,Armazém,Restaurante de sushi,Doceria
23,"Ótica em Fortaleza, Ceará",,"Loja de variedades em Fortaleza, Ceará",Serviço de entrega,Atacadista de café
24,Supermercado,,"Loja de iluminação em Fortaleza, Ceará",Fabricante de alimentos,"Hospital geral em Fortaleza, Ceará"
25,"Loja de departamento em Fortaleza, Ceará",,"Livraria em Fortaleza, Ceará",Bar,"Loja de calçado em Fortaleza, Ceará"
26,,,"Complexo de condomínio em Fortaleza, Ceará",Empresa de organização de eventos,"Farmácia em Fortaleza, Ceará"
27,,,"Loja de ferragens em Fortaleza, Ceará",Cafeteria,Confeitaria
28,,,"Loja de materiais elétricos em Fortaleza, Ceará",Fornecedor de água engarrafada,"Loja de roupa em Fortaleza, Ceará"
29,,,"Loja de roupa em Fortaleza, Ceará",Empresa de embalagens,"Loja de celulares em Fortaleza, Ceará"
30,,,"Loja de uniformes em Fortaleza, Ceará",Confeitaria,"Loja de videogame em Fortaleza, Ceará"
31,,,"Equipamentos de panificação em Fortaleza, Ceará",Restaurante japonês,Delivery
32,,,"Loja de ferramentas em Fortaleza, Ceará",Curso de Culinária,"Livraria em Fortaleza, Ceará"
33,,,"Serviço de distribuição em Fortaleza, Ceará",Doceria,"Local para eventos em Fortaleza, Ceará"
34,,,"Loja de artigos hospitalares em Fortaleza, Ceará",Loja de bebidas alcoólicas,"Loja de roupas para ocasiões formais em Fortaleza, Ceará"
35,,,,Sex Shop,"Sebo em Fortaleza, Ceará"
36,,,,,"Loja de DVDs em Fortaleza, Ceará"
37,,,,,"Floricultura em Fortaleza, Ceará"
38,,,,,"Loja de eletrônicos em Fortaleza, Ceará"
39,,,,,Loja de chás
40,,,,,"Loja de carimbos em Fortaleza, Ceará"
41,,,,,"Loja de moda masculina em Fortaleza, Ceará"
42,,,,,"Assistência técnica em Fortaleza, Ceará"
43,,,,,Limpeza
44,,,,,"Tabacaria em Fortaleza, Ceará"
45,,,,,Buffet de doces e sobremesas
46,,,,,"Loja de informática em Fortaleza, Ceará"
47,,,,,Pet Shop
48,,,,,"Loja de colchões em Fortaleza, Ceará"
49,,,,,"Pet shop em Fortaleza, Ceará"
50,,,,,Loja de prateleiras
51,,,,,"Joalheiro atacadista em Fortaleza, Ceará"
52,,,,,"Loja de vitaminas e suplementos em Fortaleza, Ceará"
53,,,,,"Loja de roupas de praia em Fortaleza, Ceará"
54,,,,,"Loja de produtos de papelaria em Fortaleza, Ceará"
55,,,,,"Loja de armas em Fortaleza, Ceará"
56,,,,,"Loja de peças para motocicletas em Fortaleza, Ceará"
57,,,,,"Loja de artigos hospitalares em Fortaleza, Ceará"
58,,,,,"Loja de departamento em Fortaleza, Ceará"
