NOME;PONTUACAO;COMENTARIO;LOCAL;TIPO;TEMPO_ESPERA;BUSCA_ID
Shopping RioMar Fortaleza;4.7;52.356 comentários;R. Des. Lauro Nogueira, 1500 - Papicu, Fortaleza - CE, 60175-055;Shopping center em Fortaleza, Ceará;45 min a 3 h;cafeteria
Greta Café;4.7;1.094 comentários;Av. Antônio Sales, 2960 - Dionísio Torres, Fortaleza - CE, 60135-102;$$;;cafeteria
Bardo Café;4.9;22 comentários;R. Amélia Benebien, 471 - Papicu, Fortaleza - CE, 60176-010;Cafeteria;;cafeteria
Go Coffee: Cafés, Chás, Frappes, Chocolate Quente, Cafeteria, Fortaleza CE;4.6;62 comentários;R. Pereira Valente, 578 - Meireles, Fortaleza - CE, 60160-250;Cafeteria;10 min;cafeteria
Le Pain Le Café | Aldeota;4.4;1.277 comentários;Rua Professor Dias da Rocha, 670 - Meireles, Fortaleza - CE, 60170-310;$$$;20 min a 1,5 h;cafeteria
Cafeteria Club Café Santa Clara;4.0;25 comentários;Rua Desembargador Lauro Nogueira, 1500 Piso L2 Quiosque 210 - Papicu, Fortaleza - CE, 60175-055;Cafeteria;;cafeteria
Casa Bauducco;4.7;201 comentários;R. Des. Lauro Nogueira, 1500 - loja 1046 - Papicu, Fortaleza - CE, 60175-055;$$;10 min;cafeteria
Café Cultive;4.5;695 comentários;R. Maria Tomásia, 1276 - Aldeota, Fortaleza - CE, 60150-170;Cafeteria;;cafeteria
Greta Café;4.7;1.094 comentários;Av. Antônio Sales, 2960 - Dionísio Torres, Fortaleza - CE, 60135-102;$$;;cafeteria
Torra Café;4.8;452 comentários;Rua Marcos Macêdo, 827 - Aldeota, Fortaleza - CE, 60150-190;Cafeteria;1-2 horas;cafeteria
Cafeteria Club Café Santa Clara Reserva da Família - RioMar Fortaleza;4.1;169 comentários;Pça de Alimentação (Q304 - Rua Desembargador Lauro Nogueira, 1500 - Piso L3, R. Des. Lauro Nogueira, 1500 - Papicu, Fortaleza - CE, 60175-055;Cafeteria;;cafeteria
Amika Coffeehouse;4.8;957 comentários;Av. Desembargador Moreira, 2689 - Dionísio Torres, Fortaleza - CE, 60170-172;$$;30 min a 1,5 h;cafeteria
DOLCE GRÃO Cafeteria;4.5;55 comentários;Av. Antônio Sales, 3410 - Cocó, Fortaleza - CE, 60810-350;Cafeteria;15-45 min;cafeteria
l´espresso café - Livraria Leitura RioMar;4.8;9 comentários;R. Des. Lauro Nogueira, 1500 - Papicu, Fortaleza - CE, 60176-125;Café;;cafeteria
Cafeteria Prosa e Queijos;4.9;40 comentários;Av. Dr. Aldy Mentor, 430 - Cidade 2000, Fortaleza - CE, 60191-106;Cafeteria;15 min;cafeteria
Blend Coffee House;4.6;857 comentários;R. Sabino Pires, 17 - Aldeota, Fortaleza - CE, 60150-090;$$;45 min a 2 h;cafeteria
The Coffee;3.1;8 comentários;R. Des. Lauro Nogueira, 1500 - Papicu, Fortaleza - CE, 60175-055;Cafeteria;;cafeteria
Café 50;4.4;836 comentários;Av. Beira Mar, 4050 - Mucuripe, Fortaleza - CE, 60165-120;Cafeteria;45 min;cafeteria
Mercado do Café (Aldeota);4.2;701 comentários;R. Maria Tomásia, 531 - Aldeota, Fortaleza - CE, 60150-170;Cafeteria;;cafeteria
Lugano Fortaleza Jardins;4.4;39 comentários;Rua Marcos Macêdo, 454 - Aldeota, Fortaleza - CE, 60170-001;Cafeteria;10-45 min;cafeteria
Café Senac;4.8;100 comentários;Av. Desembargador Moreira, 1301 - Aldeota, Fortaleza - CE, 60170-002;$$;;cafeteria
pincoffee - Café Rosa - Cafeteria Rosa;4.1;121 comentários;R. Maria Tomásia, 1262 - Aldeota, Fortaleza - CE, 60150-170;Cafeteria;;cafeteria
Greta Café;4.7;1.094 comentários;Av. Antônio Sales, 2960 - Dionísio Torres, Fortaleza - CE, 60135-102;$$;;cafeteria
Coco Bambu Coffee Break: Cafés, Padaria, Restaurante, Drive Thru, Fortaleza CE;4.6;584 comentários;R. Barão de Aracati, 1060 - Aldeota, Fortaleza - CE, 60115-081;$$$;30 min a 1,5 h;cafeteria
The Coffee;5.0;22 comentários;Rua Professor Otávio Lobo, 755 - Loja 25 A - Cocó, Fortaleza - CE, 60192-290;Cafeteria;;cafeteria
Milklandia Café;4.1;11 comentários;Shopping Rio Mar - Papicu, Fortaleza - CE, 60175-055;Cafeteria;;cafeteria
Café Jangada: Cafeteria, Crepes, Tapiocas, Sanduiches, Cuscuz em Fortaleza CE;4.3;12 comentários;Av. Beira Mar - Meireles, Fortaleza - CE, 60165-122;Cafeteria;;cafeteria
Empório Café;4.7;117 comentários;Av. Dom Luís, 1200 - Meireles, Fortaleza - CE, 60160-230;Cafeteria;;cafeteria
Tiamate Coffee;4.5;786 comentários;R. Floriano Peixoto, 484 - Centro, Fortaleza - CE, 60310-330;$$;25 min a 1 h;cafeteria
Cafeteria Santa Clara;4.5;37 comentários;R. Major Facundo, 500 - Centro, Fortaleza - CE, 60025-100;Cafeteria;;cafeteria
Bleecker Café - Aldeota;4.7;536 comentários;Rua Silva Paulet, 1281 - Aldeota, Fortaleza - CE, 60120-021;$$;25 min a 2 h;cafeteria
Nupê Café;4.7;164 comentários;Rua Coronel Jucá, 537 - Meireles, Fortaleza - CE, 60170-288;$$;;cafeteria
Benévolo Café e Gelato;4.6;1.386 comentários;R. Ana Bilhar, 1083 - Meireles, Fortaleza - CE, 60160-110;$$;20 min a 1,5 h;cafeteria
Oie Cafeteria;4.6;145 comentários;R. República da Armênia, 1311 - Parque Manibura, Fortaleza - CE, 60821-760;Cafeteria;15 min a 1,5 h;cafeteria
Tipo.cc - Café e Coworking;4.7;204 comentários;R. José Vilar, 3040 - loja 2 - Dionísio Torres, Fortaleza - CE, 60125-001;Cafeteria;1-3 horas;cafeteria
Cafeteria Tres Coraçoes;4.3;3 comentários;Av. Washington Soares, 85 - 720a - Edson Queiroz, Fortaleza - CE, 60811-900;Cafeteria;;cafeteria
Duckbill Fortaleza (Beira Mar);4.2;103 comentários;Av. Beira Mar, 2500 - Meireles, Fortaleza - CE, 60165-121 - Meireles, Fortaleza - CE, 60165-120;Cafeteria;;cafeteria
Café & Company;5.0;2 comentários;Av. Engenheiro Alberto Sá, 220 - Papicu, Fortaleza - CE, 60175-395;Cafeteria;;cafeteria
The Coffee;4.3;9 comentários;Av. Dom Luís, 1200 - Meireles, Fortaleza - CE, 60160-230;Cafeteria;;cafeteria
The Coffee Beira Mar;4.6;111 comentários;R. Osvaldo Cruz, 28 - Meireles, Fortaleza - CE, 60125-150;$$;;cafeteria
Mercado do Café - Benfica;4.2;3.780 comentários;Rua Padre Francisco Pinto, 186 - Gentilândia, Fortaleza - CE, 60020-290;$$;;cafeteria
Nüsse Café;4.2;39 comentários;R. Maria Tomásia, 521 - Aldeota, Fortaleza - CE, 60150-170;Cafeteria;20 min a 1,5 h;cafeteria
