NOME;PONTUACAO;COMENTARIO;LOCAL;TIPO;TEMPO_ESPERA;BUSCA_ID
Ôxximydog;5.0;4 comentários;R. Raimundo Arruda, 64 - Parquelândia, Fortaleza - CE, 60450-500;Restaurante;;restaurante
Restaurante Mariano da Picanha;4.0;1.231 comentários;Av. Monsenhor Tabosa, 1712 - Meireles, Fortaleza - CE, 60165-010;$$;;restaurante
Camarada Camarão: Camarões, Peixes, Happy Hour, Restaurante, Fortaleza CE;4.5;867 comentários;R. Des. Lauro Nogueira, 1500 - Papicu, Fortaleza - CE, 60175-055;$$$;5-45 min;restaurante
Cabaña Del Primo - Restaurante de Carnes em Fortaleza;4.6;823 comentários;R. Des. Lauro Nogueira, 1500 - Papicu, Fortaleza - CE, 60176-065;$$$;5 min a 1,5 h;restaurante
Divino Fogão - Riomar Fortaleza;4.2;667 comentários;Rua Desembargador Lauro Nogueira, 1500 piso L3 sala coml 3030 - Papicu, Fortaleza - CE, 60176-065;$$;;restaurante
Hard Rock Cafe;4.7;5.290 comentários;R. Des. Lauro Nogueira, 1500 - Papicu, Fortaleza - CE, 60175-055;$$$;10 min a 1,5 h;restaurante
Delicias da Iaiá;4.4;5 comentários;Rua Dr. Ribamar Lobo, N° 20 - Papicu, Fortaleza - CE, 60176-145;Restaurante brasileiro;10-45 min;restaurante
Cocina 378;4.7;510 comentários;R. Vilebaldo Aguiar, 378 - Cocó, Fortaleza - CE, 60192-010;$$$;1-2,5 horas;restaurante
Quintal Restaurante;4.6;350 comentários;Av. Desembargador Moreira, 533 - Meireles, Fortaleza - CE, 60170-000;$$$;45 min a 1,5 h;restaurante
Cemoara Restaurante;4.4;54 comentários;R. Joaquim Nabuco, 166 - Meireles, Fortaleza - CE, 60125-120;Restaurante de frutos do mar;;restaurante
Santa Grelha;4.7;1.799 comentários;R. Tibúrcio Cavalcante, 790 - Meireles, Fortaleza - CE, 60125-100;$$$;1-2,5 horas;restaurante
Cabaña Del Primo;4.7;1.313 comentários;R. Maria Tomásia, 503 - Aldeota, Fortaleza - CE, 60170-001;$$$;10 min a 1,5 h;restaurante
Balcony Bistro;4.8;227 comentários;R. Frederico Borges, 616 - Meireles, Fortaleza - CE, 60175-040;$$;;restaurante
Restaurante Mucuripe;4.6;189 comentários;Av. Beira Mar, 3980 - Mucuripe, Fortaleza - CE, 60165-121;Restaurante de frutos do mar;1-3 horas;restaurante
Restaurante Marquês da Varjota;4.6;1.114 comentários;R. Frederico Borges, 426 - Meireles, Fortaleza - CE, 60175-040;$$$;1-2,5 horas;restaurante
Restaurante 44;4.4;522 comentários;R. Joaquim Nabuco, 1224 - Aldeota, Fortaleza - CE, 60125-055;$$;30 min a 1 h;restaurante
Butcher's 746: Steakhouse, Carnes Nobres, Churrasco, Delivery, Restaurante, Fortaleza CE;4.6;699 comentários;R. Maria Tomásia, 746 - Aldeota, Fortaleza - CE, 60150-170;$$$;1-2 horas;restaurante
Casa Beá Restaurante;4.3;82 comentários;Av. Desembargador Moreira, 615 A - Meireles, Fortaleza - CE, 60170-055;Restaurante;;restaurante
Pipo Restaurante;4.6;1.367 comentários;R. Manoel Lourenço dos Santos, 399 - São João do Tauape, Fortaleza - CE, 60135-450;$$$;;restaurante
Vasto Restaurante;4.8;374 comentários;Av. Senador Virgílio Távora, 511 - Meireles, Fortaleza - CE, 60170-251;Restaurante;2-3,5 horas;restaurante
Madero Steak House Riomar Fortaleza;4.5;2.374 comentários;R. Des. Lauro Nogueira, 1500 - Papicu, Fortaleza - CE, 60175-055;$$$;10 min a 1 h;restaurante
Restaurante Lima 21 - Gastronomia Peruana;4.6;243 comentários;Rua Silva Jatahy, 505 - Meireles, Fortaleza - CE, 60165-070;Restaurante peruano;;restaurante
Ôxximydog;5.0;4 comentários;R. Raimundo Arruda, 64 - Parquelândia, Fortaleza - CE, 60450-500;Restaurante;;restaurante
Restaurante Mariano da Picanha;4.0;1.231 comentários;Av. Monsenhor Tabosa, 1712 - Meireles, Fortaleza - CE, 60165-010;$$;;restaurante
Restaurante Mayú;4.9;186 comentários;Senac Reference - Av. Desembargador Moreira, 1301 - 4º andar - Aldeota, Fortaleza - CE, 60170-001;Restaurante;1,5-3 horas;restaurante
ZOI Restaurante;4.6;772 comentários;Av. Hermenegildo Sá Cavalcante, s/n - Edson Queiroz, Fortaleza - CE, 60811-905;Restaurante;;restaurante
Tilápia Restaurante;4.9;200 comentários;R. Eliseu Uchôa Beco, 450 - Guararapes, Fortaleza - CE, 60810-270;Restaurante;1-2,5 horas;restaurante
Casa Fontana;4.5;111 comentários;R. Bento Albuquerque, 1976 - Cocó, Fortaleza - CE, 60192-050;Restaurante;1,5-3 horas;restaurante
Moranga Bistrô;4.5;710 comentários;R. Xavier de Castro, 100 - Praia de Iracema, Fortaleza - CE, 60060-660;$$$$;1,5-2,5 horas;restaurante
Casa Nostra | Restaurante Italiano;4.6;1.203 comentários;Av. Senador Virgílio Távora, 1800 - Dionísio Torres, Fortaleza - CE, 60170-251;$$;;restaurante
Moleskine Gastrobar;4.7;3.009 comentários;Rua Professor Dias da Rocha, 578 - Meireles, Fortaleza - CE, 60170-310;$$$;;restaurante
Marcel Restaurante.;4.6;117 comentários;Av. Historiador Raimundo Girão, 800 - Praia de Iracema, Fortaleza - CE, 60165-050;Restaurante francês;;restaurante
Sabor de Mar;4.2;148 comentários;Av. Desembargador Moreira, 256 - Meireles, Fortaleza - CE, 60170-000;$$;45 min a 2,5 h;restaurante
Dom Antunes Steakhouse: Restaurante de Carnes Nobres Aldeota Fortaleza;4.4;1.396 comentários;Rua Frei Mansueto, 1560 - Aldeota, Fortaleza - CE, 60175-082;$$;;restaurante
Riô - drinks & comida;4.9;11 comentários;Rua Frei Mansueto, 662 - Meireles, Fortaleza - CE, 60175-070;Restaurante brasileiro;;restaurante
Giz Cozinha Boêmia;4.6;1.583 comentários;Rua Professor Dias da Rocha, 579 - Meireles, Fortaleza - CE, 60170-310;Restaurante brasileiro;1,5-3,5 horas;restaurante
Geppos Praia - Restaurante na Praia de Iracema;4.4;3.201 comentários;Av. Beira Mar, 3222 - Meireles, Fortaleza - CE, 60165-121;$$;1-2 horas;restaurante
Restaurante Moqueca;4.8;16 comentários;Rua Pescador Chico Bindá, 318 - Vicente Pinzon, Fortaleza - CE, 60181-160;Restaurante de frutos do mar;;restaurante
Coco Bambu Beira Mar;4.6;18.692 comentários;Av. Beira Mar, 3698 - Beira Mar, Fortaleza - CE, 60165-121;$$$;1-2,5 horas;restaurante
Amarú Restaurante;4.4;1.299 comentários;R. Mario Mamede, 932 - Fátima, Fortaleza - CE, 60411-170;$$;25 min a 1 h;restaurante
Restaurante Rei do Baião;4.5;1.367 comentários;Av. Heráclito Graça, 699 - Centro, Fortaleza - CE, 60140-061;$$;30 min a 1 h;restaurante
Restaurante Renascença;4.5;282 comentários;Rua General Tertuliano Potiguara, 570 - Aldeota, Fortaleza - CE, 60135-280;$$;45 min;restaurante
Restaurante Mariano da Picanha;4.0;1.231 comentários;Av. Monsenhor Tabosa, 1712 - Meireles, Fortaleza - CE, 60165-010;$$;;restaurante
Coco Bambu Meireles;4.6;10.689 comentários;Rua Canuto de Aguiar, 1317 - Meireles, Fortaleza - CE, 60160-120;$$$;1,5-3 horas;restaurante
Ôxximydog;5.0;4 comentários;R. Raimundo Arruda, 64 - Parquelândia, Fortaleza - CE, 60450-500;Restaurante;;restaurante
Restaurante Mariano da Picanha;4.0;1.231 comentários;Av. Monsenhor Tabosa, 1712 - Meireles, Fortaleza - CE, 60165-010;$$;;restaurante
Restaurante da Zena;4.5;2.004 comentários;R. Meton de Alencar, 549 - Centro, Fortaleza - CE, 60035-160;$$;25 min a 1 h;restaurante
Cervejaria Turatti;4.4;3.042 comentários;R. Ana Bilhar, 1178 - Varjota, Fortaleza - CE, 60160-110;$$;;restaurante
RAIZ Cozinha Brasileira;4.4;1.185 comentários;Av. Washington Soares, 3300 - Edson Queiroz, Fortaleza - CE, 60810-350;$$;1-3 horas;restaurante
Restaurante Ubajara;4.1;267 comentários;R. Pinto Madeira, 600 - Centro, Fortaleza - CE, 60150-000;$;25 min;restaurante
Restaurante La Fiorelli;3.9;30 comentários;Centro, Fortaleza - CE, 60025-100;Restaurante;;restaurante
Giappone Sushibar;4.1;33 comentários;R. Des. Lauro Nogueira, 1500 - Papicu, Fortaleza - CE, 60175-055;Restaurante de sushi;;restaurante
Vignoli Fortaleza – Virgílio Távora;4.5;2.527 comentários;Av. Senador Virgílio Távora, 10 - Meireles, Fortaleza - CE, 60822-150;$$$;1-2 horas;restaurante
Ryori Buganvília;4.5;668 comentários;Av. Dom Luís, 1113 - Meireles, Fortaleza - CE, 60160-230;$$$;;restaurante
